model_name,release_year,theme,subtheme,total_pieces,total_mini_figures,availability
Heroica Ilrion,2012,Games,Heroica,240,8,Retail
The Hobbit: An Unexpected Journey,2012,Games,,394,4,Not specified
Stephanie's Outdoor Bakery,2012,Friends,,45,1,Retail
Emma's Splash Pool,2012,Friends,,43,1,Retail
Andrea's Stage,2012,Friends,,87,1,Retail
Olivia's Invention Workshop,2012,Friends,,81,1,Retail
Mia's Puppy House,2012,Friends,,64,1,Retail
Stephanie's Pet Patrol,2012,Friends,,73,1,Retail
Emma's Fashion Design Studio,2012,Friends,,79,1,Retail
Olivia's Speedboat,2012,Friends,,65,1,Retail
Andrea's Bunny House,2012,Friends,,62,1,Retail
Mia's Bedroom,2012,Friends,,85,1,Retail
Heartlake Dog Show,2012,Friends,,183,1,Retail
New York Taxi,2012,Creator,,44,NA,Retail - limited
Statue Of Liberty,2012,Creator,,39,NA,Retail - limited
Valentine's Day Box,2012,Seasonal,Valentines,51,NA,LEGO exclusive
Duck with Ducklings,2012,Seasonal,Easter,51,NA,LEGO exclusive
Bunny and Chick,2012,Seasonal,Easter,52,NA,LEGO exclusive
Witch,2012,Seasonal,Halloween,71,NA,LEGO exclusive
Turkey,2012,Seasonal,Thanksgiving,52,NA,Retail - limited
Christmas Train,2012,Seasonal,Christmas,82,NA,LEGO exclusive
Rocking Horse,2012,Seasonal,Christmas,49,NA,LEGO exclusive
Cobra,2012,Promotional,Monthly Mini Model Build,37,NA,LEGO exclusive
Hockey player,2012,Promotional,Monthly Mini Model Build,43,NA,LEGO exclusive
Worm & Earth,2012,Promotional,Monthly Mini Model Build,29,NA,LEGO exclusive
Tulip,2012,Promotional,Monthly Mini Model Build,16,NA,LEGO exclusive
Olympic flame,2012,Promotional,Monthly Mini Model Build,15,NA,LEGO exclusive
Moose,2012,Promotional,Monthly Mini Model Build,27,NA,LEGO exclusive
Cat,2012,Promotional,Monthly Mini Model Build,25,NA,LEGO exclusive
Duck,2012,Promotional,Monthly Mini Model Build,24,NA,LEGO exclusive
Lawnmower,2012,Promotional,Monthly Mini Model Build,25,NA,LEGO exclusive
Shark,2012,Promotional,Monthly Mini Model Build,27,NA,LEGO exclusive
Pilgrim,2012,Promotional,Monthly Mini Model Build,23,NA,LEGO exclusive
Owl,2012,Promotional,Monthly Mini Model Build,41,NA,LEGO exclusive
Sopwith Camel,2012,Miscellaneous,,65,NA,Promotional
Mining 4x4,2012,City,Mining,102,1,Retail
Loader and Tipper,2012,City,Mining,139,2,Retail
Mining Truck,2012,City,Mining,269,1,Retail
Excavator Transporter,2012,City,Mining,305,2,Retail
The Mine,2012,City,Mining,748,4,Retail
Off-Road Command Centre,2012,City,Forest Police,403,3,Retail - limited
Recycling Truck,2012,City,Traffic,297,3,Retail - limited
City Garage,2012,City,Traffic,933,5,Retail - limited
Fire Truck,2012,City,Forest Fire,243,1,Retail
Fire Plane,2012,City,Forest Fire,522,3,Retail
Fire ATV,2012,City,Forest Fire,50,1,Retail
City Advent Calendar,2012,City,Seasonal,248,7,Retail - limited
Helicopter Rescue,2012,City,Medical,425,4,Retail
Fire Transporter,2012,City,Forest Fire,522,3,Retail - limited
Ambulance,2012,City,Medical,199,3,Retail
Garbage Truck,2012,City,Traffic,208,2,Retail
Dirt Bike Transporter,2012,City,Traffic,201,2,Retail
Dump Truck,2012,City,Traffic,222,2,Retail
Car and Caravan,2012,City,Traffic,218,2,Retail
Patrol Car,2012,City,Forest Police,97,2,Retail
Police Pursuit,2012,City,Forest Police,129,2,Retail
Robbers' Hideout,2012,City,Forest Police,317,4,Retail - limited
Heavy-Lift Helicopter,2012,City,Forest Police,393,3,Retail
Forest Police Station,2012,City,Forest Police,633,5,Retail
Police Dog Van,2012,City,Forest Police,313,2,Retail
Glider,2012,City,Airport,102,2,Promotional (Airline)
Police Helicopter,2012,City,Police,112,2,Promotional (Airline)
Batman,2012,DC Comics Super Heroes,Constraction,40,NA,Retail
The Joker,2012,DC Comics Super Heroes,Constraction,57,NA,Retail
Green Lantern,2012,DC Comics Super Heroes,Constraction,38,NA,Retail
Iron Man,2012,Marvel Super Heroes,Constraction,44,NA,Retail
The Hulk,2012,Marvel Super Heroes,Constraction,39,NA,Retail
Captain America,2012,Marvel Super Heroes,Constraction,44,NA,Retail
Pink Brick Box,2012,Duplo,,30,NA,Retail
Brick Box Green,2012,Duplo,,31,NA,Retail
Pink Brick Box,2012,Bricks and More,,224,1,Retail
Farm Brick Box,2012,Bricks and More,,232,1,Retail
Fun With Bricks,2012,Duplo,,85,NA,Retail
Fun With Bricks,2012,Bricks and More,,600,NA,Retail
Build & Play Box,2012,Duplo,,150,NA,Retail
Build & Play Box,2012,Make and Create,,1000,NA,Retail
My First Build,2012,Duplo,,59,1,Retail
Building Plates,2012,Duplo,Accessories,3,NA,Retail
Fun With Vehicles,2012,Bricks and More,,525,2,Retail
Police Building Set,2012,Bricks and More,,130,2,Retail
Safari Building Set,2012,Bricks and More,,152,2,Retail
The Hulk,2012,Marvel Super Heroes,Avengers,4,1,LEGO exclusive
Exclusive Minifigure Pack,2012,Promotional,LEGO brand store opening set,12,NA,LEGO exclusive
Darth Maul,2012,Star Wars,Minifig Pack,7,1,Promotional
TC-14,2012,Star Wars,Minifig Pack,3,1,LEGO exclusive
Elrond,2012,The Lord of the Rings,The Fellowship of the Ring,6,1,Promotional
Stephanie,2012,Friends,Promotional,5,1,Promotional
Chase McCain,2012,City,Police,4,1,Promotional
Ambush Attack,2012,Dino,,80,1,Retail
Tower Takedown,2012,Dino,,136,1,Retail
Raptor Chase,2012,Dino,,259,2,Retail
Triceratops Trapper,2012,Dino,,271,2,Retail
T-Rex Hunter,2012,Dino,,480,2,Retail
Dino Defense HQ,2012,Dino,,793,4,Retail
Ocean Interceptor,2012,Dino,,222,2,Retail - limited
Best Friends bricks,2012,Friends,Promotional,2,NA,Promotional
Red,2012,Duplo,Cars,13,NA,Retail
Race Day,2012,Duplo,Cars,26,NA,Retail
Siddeley Saves The Day,2012,Duplo,Cars,34,NA,Retail
My First Farm,2012,Duplo,Farm,62,1,Retail
Racing Team,2012,Duplo,,34,2,Retail
Sleeping Beauty's Room,2012,Duplo,Disney Princess,16,1,Retail
Snow White's Cottage,2012,Duplo,Disney Princess,28,1,Retail
Cinderella's Carriage,2012,Duplo,Disney Princess,20,1,Retail
Cinderella's Castle,2012,Duplo,Disney Princess,77,2,Retail
Photo Safari,2012,Duplo,Zoo,67,3,Retail
The Big Zoo,2012,Duplo,Zoo,147,4,Retail
Animal Clinic,2012,Duplo,Zoo,62,2,Retail
Fire Station,2012,Duplo,Fire,63,2,Retail
Fire Chief,2012,Duplo,Fire,6,1,Retail
Gas Station,2012,Duplo,,45,2,Retail
Zoo Truck,2012,Duplo,Zoo,8,1,Retail
Panda,2012,Duplo,Zoo,8,1,Retail
Evo,2012,HERO Factory,,36,NA,Not specified
Toxic Reapa,2012,HERO Factory,,42,NA,Not specified
Rocka,2012,HERO Factory,,55,NA,Not specified
Black Phantom,2012,HERO Factory,,124,NA,Not specified
Jawblade,2012,HERO Factory,,45,NA,Not specified
Surge,2012,HERO Factory,,39,NA,Not specified
Splitface,2012,HERO Factory,,50,NA,Not specified
Nex,2012,HERO Factory,,39,NA,Not specified
Core Hunter,2012,HERO Factory,,51,NA,Not specified
Bulk,2012,HERO Factory,,61,NA,Not specified
Breez,2012,HERO Factory,,55,NA,Not specified
Thornraxx,2012,HERO Factory,,44,NA,Not specified
XT4,2012,HERO Factory,,39,NA,Not specified
Stormer XL,2012,HERO Factory,,89,NA,Retail
Speeda Demon,2012,HERO Factory,,192,NA,Not specified
Stringer,2012,HERO Factory,,42,NA,Not specified
Voltix,2012,HERO Factory,,61,NA,Not specified
Furno,2012,HERO Factory,,56,NA,Not specified
Super Pack 3-in-1,2012,Star Wars,Product Collection,633,NA,Retail - limited
Grow Caterpillar Grow!,2012,Duplo,,17,NA,Retail
Busy Farm,2012,Duplo,,15,NA,Retail
Let's Go! Wroom!,2012,Duplo,,12,NA,Retail
Creative Sorter,2012,Duplo,,23,NA,Retail
Creative Cakes,2012,Duplo,,55,NA,Retail
The Dynamic Duo Funhouse Escape,2012,DC Comics Super Heroes,Batman,380,5,Retail - limited
Catwoman Catcycle City Chase,2012,DC Comics Super Heroes,Batman,89,2,Retail
The Batcave,2012,DC Comics Super Heroes,Batman,690,5,Retail
Superman Vs Power Armor Lex,2012,DC Comics Super Heroes,Superman,207,3,Retail
Batwing Battle Over Gotham City,2012,DC Comics Super Heroes,Batman,278,3,Retail
The Batmobile and the Two-Face Chase,2012,DC Comics Super Heroes,Batman,531,5,Retail
Captain America's Avenging Cycle,2012,Marvel Super Heroes,Avengers,72,3,Retail
Wolverine's Chopper Showdown,2012,Marvel Super Heroes,X-Men,199,3,Retail
Loki's Cosmic Cube Escape,2012,Marvel Super Heroes,Avengers,181,3,Retail
Hulk's Helicarrier Breakout,2012,Marvel Super Heroes,Avengers,389,4,Retail
Quinjet Aerial Battle,2012,Marvel Super Heroes,Avengers,735,5,Retail
Spider-Man's Doc Ock Ambush,2012,Marvel Super Heroes,Ultimate Spider-Man,295,3,Retail - limited
Mini Sports Car,2012,Creator,,70,NA,Retail
Mini Fire Truck,2012,Creator,,69,NA,Retail
Super Soarer,2012,Creator,,130,NA,Retail
Blue Roadster,2012,Creator,,152,NA,Retail
Prehistoric Hunters,2012,Creator,,191,NA,Retail
Street Rebel,2012,Creator,,196,NA,Retail
Propeller Adventures,2012,Creator,,241,NA,Retail
Transport Chopper,2012,Creator,,383,NA,Retail
Seaside House,2012,Creator,,415,1,Retail
Highway Pickup,2012,Creator,,805,NA,Retail
Riddles for the Ring,2012,The Hobbit,An Unexpected Journey,105,2,Retail
Escape from Mirkwood Spiders,2012,The Hobbit,The Desolation of Smaug,298,4,Retail
Attack of the Wargs,2012,The Hobbit,An Unexpected Journey,400,5,Retail
An Unexpected Gathering,2012,The Hobbit,An Unexpected Journey,652,6,Retail
Barrel Escape,2012,The Hobbit,The Desolation of Smaug,334,5,Retail
The Goblin King Battle,2012,The Hobbit,An Unexpected Journey,841,8,Retail
Minifigure Presentation Boxes,2012,Miscellaneous,,89,1,LEGO exclusive
Desk Business Card Holder,2012,Miscellaneous,Desk accessory,150,2,LEGO exclusive
Pencil Holder,2012,Miscellaneous,Desk accessory,157,1,LEGO exclusive
Ninjago Character Card Shrine,2012,Ninjago,,88,1,LEGO exclusive
Minifigure Accessory Pack,2012,Collectable Minifigures,Combi-pack,63,3,LEGO exclusive
VIP Top 5 Boxed Minifigures,2012,Collectable Minifigures,Combi-pack,37,5,LEGO exclusive
Rock Band Minifigure Accessory Set,2012,Collectable Minifigures,Combi-pack,62,3,LEGO exclusive
Halloween Accessory Set,2012,Collectable Minifigures,Combi-pack,58,3,LEGO exclusive
LEGO City Accessory Pack,2012,City,Forest Fire,43,4,LEGO exclusive
LEGO Friends Picture Frame,2012,Miscellaneous,Photo frames/albums,49,NA,LEGO exclusive
LEGO Minifigures Series 6 {Random bag} ,2012,Collectable Minifigures,Series 06,NA,NA,Retail
Flamenco Dancer,2012,Collectable Minifigures,Series 06,6,1,Retail
Lady Liberty,2012,Collectable Minifigures,Series 06,8,1,Retail
Clockwork Robot,2012,Collectable Minifigures,Series 06,5,1,Retail
Sleepyhead,2012,Collectable Minifigures,Series 06,6,1,Retail
Surgeon,2012,Collectable Minifigures,Series 06,7,1,Retail
Skater Girl,2012,Collectable Minifigures,Series 06,8,1,Retail
Mechanic,2012,Collectable Minifigures,Series 06,7,1,Retail
Butcher,2012,Collectable Minifigures,Series 06,7,1,Retail
Intergalactic Girl,2012,Collectable Minifigures,Series 06,9,1,Retail
Leprechaun,2012,Collectable Minifigures,Series 06,9,1,Retail
Genie,2012,Collectable Minifigures,Series 06,7,1,Retail
Classic Alien,2012,Collectable Minifigures,Series 06,6,1,Retail
Bandit,2012,Collectable Minifigures,Series 06,8,1,Retail
Minotaur,2012,Collectable Minifigures,Series 06,8,1,Retail
Highland Battler,2012,Collectable Minifigures,Series 06,7,1,Retail
Roman Soldier,2012,Collectable Minifigures,Series 06,7,1,Retail
LEGO Minifigures Series 6 - Complete,2012,Collectable Minifigures,Series 06,115,16,Retail
LEGO Minifigures Series 6 - Sealed Box,2012,Collectable Minifigures,Series 06,60,NA,Retail
LEGO Minifigures Series 7 {Random bag} ,2012,Collectable Minifigures,Series 07,NA,NA,Retail
Galaxy Patrol,2012,Collectable Minifigures,Series 07,7,1,Retail
Hippie,2012,Collectable Minifigures,Series 07,9,1,Retail
Bunny Suit Guy,2012,Collectable Minifigures,Series 07,6,1,Retail
Rocker Girl,2012,Collectable Minifigures,Series 07,6,1,Retail
Grandma Visitor,2012,Collectable Minifigures,Series 07,7,1,Retail
Ocean King,2012,Collectable Minifigures,Series 07,7,1,Retail
Viking Woman,2012,Collectable Minifigures,Series 07,10,1,Retail
Bagpiper,2012,Collectable Minifigures,Series 07,7,1,Retail
Jungle Boy,2012,Collectable Minifigures,Series 07,7,1,Retail
Swimming Champion,2012,Collectable Minifigures,Series 07,6,1,Retail
Tennis Ace,2012,Collectable Minifigures,Series 07,6,1,Retail
Daredevil,2012,Collectable Minifigures,Series 07,8,1,Retail
Aztec Warrior,2012,Collectable Minifigures,Series 07,7,1,Retail
Computer Programmer,2012,Collectable Minifigures,Series 07,7,1,Retail
Bride,2012,Collectable Minifigures,Series 07,11,1,Retail
Evil Knight,2012,Collectable Minifigures,Series 07,8,1,Retail
LEGO Minifigures Series 7 - Complete,2012,Collectable Minifigures,Series 07,119,16,Retail
LEGO Minifigures Series 7 - Sealed Box,2012,Collectable Minifigures,Series 07,60,NA,Retail
LEGO Minifigures Series 8 {Random bag} ,2012,Collectable Minifigures,Series 08,NA,NA,Not specified
Actor,2012,Collectable Minifigures,Series 08,7,1,Retail
Pirate Captain,2012,Collectable Minifigures,Series 08,6,1,Retail
Conquistador,2012,Collectable Minifigures,Series 08,8,1,Retail
Evil Robot,2012,Collectable Minifigures,Series 08,8,1,Retail
Alien Villainess,2012,Collectable Minifigures,Series 08,9,1,Retail
Diver,2012,Collectable Minifigures,Series 08,8,1,Retail
Vampire Bat,2012,Collectable Minifigures,Series 08,5,1,Retail
Fairy,2012,Collectable Minifigures,Series 08,8,1,Retail
Football Player,2012,Collectable Minifigures,Series 08,8,1,Retail
Businessman,2012,Collectable Minifigures,Series 08,7,1,Retail
Downhill Skier,2012,Collectable Minifigures,Series 08,9,1,Retail
Red Cheerleader,2012,Collectable Minifigures,Series 08,7,1,Retail
Santa,2012,Collectable Minifigures,Series 08,7,1,Retail
Lederhosen Guy,2012,Collectable Minifigures,Series 08,6,1,Retail
DJ,2012,Collectable Minifigures,Series 08,7,1,Retail
Cowgirl,2012,Collectable Minifigures,Series 08,6,1,Retail
LEGO Minifigures Series 8 - Complete ,2012,Collectable Minifigures,Series 08,116,16,Retail
Team GB Minifigures {Random bag},2012,Collectable Minifigures,Team GB,NA,NA,Retail - limited
Brawny Boxer,2012,Collectable Minifigures,Team GB,6,1,Retail
Stealth Swimmer,2012,Collectable Minifigures,Team GB,6,1,Retail
Relay Runner,2012,Collectable Minifigures,Team GB,7,1,Retail
Judo Fighter,2012,Collectable Minifigures,Team GB,6,1,Retail
Tactical Tennis Player,2012,Collectable Minifigures,Team GB,7,1,Retail
Flexible Gymnast,2012,Collectable Minifigures,Team GB,9,1,Retail
Wondrous Weightlifter,2012,Collectable Minifigures,Team GB,9,1,Retail
Horseback rider,2012,Collectable Minifigures,Team GB,6,1,Retail
Agile Archer,2012,Collectable Minifigures,Team GB,7,1,Retail
Team GB Minifigures - Sealed Box,2012,Collectable Minifigures,Team GB,60,NA,Retail
Crazy Demon,2012,Racers,,86,1,Retail
Bone Cruncher,2012,Racers,,87,1,Retail
Star Striker,2012,Racers,,88,1,Retail
Nitro Predator,2012,Racers,,87,1,Retail
Mini Tow Truck,2012,Technic,,136,NA,Retail
Tracked Crane,2012,Technic,,218,NA,Retail
Quad Bike,2012,Technic,,199,NA,Retail
Tractor,2012,Technic,,353,NA,Retail
Jet Plane,2012,Technic,,499,NA,Retail
Pick-Up Tow Truck,2012,Technic,,954,NA,Retail
Helicopter,2012,Technic,,1056,NA,Retail
Logging Truck,2012,Technic,,1308,NA,Retail
4x4 Crawler,2012,Technic,,1327,NA,Retail
Venomari Shrine,2012,Ninjago,,86,1,Retail
Kai's Blade Cycle,2012,Ninjago,,188,2,Retail
Jay's Storm Fighter,2012,Ninjago,,242,2,Retail
Rattlecopter,2012,Ninjago,,327,3,Retail
Cole's Tread Assault,2012,Ninjago,,286,2,Retail
Fangpyre Truck Ambush,2012,Ninjago,,452,4,Retail
Destiny's Bounty,2012,Ninjago,,680,6,Retail
Lasha's Bite Cycle,2012,Ninjago,,250,2,Retail
Samurai Mech,2012,Ninjago,,452,3,Retail
Ultra Sonic Raider,2012,Ninjago,,622,6,Retail
Epic Dragon Battle,2012,Ninjago,,915,7,Retail
Fangpyre Mech,2012,Ninjago,,255,2,Retail
Spinner Battle Arena,2012,Ninjago,,418,2,Retail
Fangpyre Wrecking Ball,2012,Ninjago,,415,3,Retail
The Swamp Creature,2012,Monster Fighters,,70,2,Retail
The Mummy,2012,Monster Fighters,,90,2,Not specified
The Werewolf,2012,Monster Fighters,,243,2,Not specified
The Vampyre Hearse,2012,Monster Fighters,,314,3,Not specified
The Zombies,2012,Monster Fighters,,447,4,Retail - limited
The Crazy Scientist & His Monster,2012,Monster Fighters,,430,4,Not specified
The Ghost Train,2012,Monster Fighters,,741,5,Not specified
Vampyre Castle,2012,Monster Fighters,,949,7,Not specified
Gandalf Arrives,2012,The Lord of the Rings,The Fellowship of the Ring,83,2,Retail
Shelob Attacks,2012,The Lord of the Rings,The Return of the King,227,3,Retail
Uruk-Hai Army,2012,The Lord of the Rings,The Two Towers,257,6,Retail
Attack On Weathertop,2012,The Lord of the Rings,The Fellowship of the Ring,430,5,Retail
The Mines of Moria,2012,The Lord of the Rings,The Fellowship of the Ring,776,9,Retail
The Battle Of Helm's Deep,2012,The Lord of the Rings,The Two Towers,1368,8,Retail
The Orc Forge,2012,The Lord of the Rings,The Fellowship of the Ring,366,4,Retail - limited
Francesco Bernoulli,2012,Cars,,49,NA,Retail
Ivan Mater,2012,Cars,,52,NA,Retail
Finn McMissile,2012,Cars,,52,NA,Retail
Jeff Gorvette,2012,Cars,,54,NA,Retail
Agent Mater's Escape,2012,Cars,,144,NA,Retail
Red's Water Rescue,2012,Cars,,199,NA,Retail
Ultimate Race Set,2012,Cars,,280,NA,Retail
Oil Rig Escape,2012,Cars,,422,NA,Retail
Elite Clone Trooper & Commando Droid Battle Pack,2012,Star Wars,The Clone Wars,98,4,Retail
Endor Rebel Trooper & Imperial Trooper Battle Pack,2012,Star Wars,Episode IV-VI,77,4,Retail
Droid Escape,2012,Star Wars,Episode IV-VI,137,4,Retail
Geonosian Cannon,2012,Star Wars,The Clone Wars,132,4,Retail
TIE Fighter,2012,Star Wars,Episode IV-VI,413,4,Retail
X-wing Starfighter,2012,Star Wars,Episode IV-VI,560,4,Retail
Anakin's Jedi Interceptor,2012,Star Wars,Episode III,300,5,Retail - limited
Gold Leader's Y-wing Starfighter,2012,Star Wars,Episode IV-VI,458,3,Retail - limited
Desert Skiff,2012,Star Wars,Episode IV-VI,213,4,Retail
Republic Striker-class Starfighter,2012,Star Wars,The Old Republic,376,3,Retail
Saesee Tiin's Jedi Starfighter,2012,Star Wars,The Clone Wars,244,3,Retail
Gungan Sub,2012,Star Wars,Episode I,465,4,Retail
Sith Fury-class Interceptor,2012,Star Wars,The Old Republic,741,3,Retail
Star Wars Advent Calendar,2012,Star Wars,Seasonal,234,10,Retail - limited
Malevolence,2012,Star Wars,The Clone Wars,1092,6,Retail
Jabba's Palace,2012,Star Wars,Episode IV-VI,717,9,Retail
Pre Vizsla's Mandalorian Fighter,2012,Star Wars,The Clone Wars,403,3,Retail - limited
Palpatine's Arrest,2012,Star Wars,Episode III,645,6,Retail
Kendo Cole,2012,Ninjago,Booster pack,28,1,Retail
Lloyd Garmadon,2012,Ninjago,Booster pack,21,1,Retail
Jay ZX,2012,Ninjago,Booster pack,28,1,Retail
Zane ZX,2012,Ninjago,Booster pack,37,1,Retail
Mezmo,2012,Ninjago,Booster pack,32,1,Retail
Bytar,2012,Ninjago,Booster pack,25,1,Retail
Lizaru,2012,Ninjago,Booster pack,17,1,Not specified
Training Set,2012,Ninjago,,219,1,Retail
Kai ZX,2012,Ninjago,Spinners,21,1,Retail
Lasha,2012,Ninjago,Spinners,21,1,Retail
Kendo Zane,2012,Ninjago,Spinners,22,1,Retail
Snappa,2012,Ninjago,Spinners,20,1,Retail
Samurai X,2012,Ninjago,Spinners,23,1,Retail
Fang-Suei,2012,Ninjago,Spinners,19,1,Retail
Spitta,2012,Ninjago,Spinners,20,1,Retail
NRG Jay,2012,Ninjago,Spinners,20,1,Retail
Fangdam,2012,Ninjago,Spinners,20,1,Retail
NRG Cole,2012,Ninjago,Spinners,20,1,Retail
Slithraa,2012,Ninjago,Spinners,20,1,Retail
Lloyd ZX,2012,Ninjago,,23,1,Retail
Starter Set,2012,Ninjago,,62,2,Retail
NRG Zane,2012,Ninjago,Spinners,23,1,Retail
Weapon Pack,2012,Ninjago,Spinners,73,2,Not specified
Naboo Starfighter & Naboo,2012,Star Wars,Planet Set,56,1,Retail
Sebulba's Podracer & Tatooine,2012,Star Wars,Planet Set,80,1,Retail
TIE Interceptor & Death Star,2012,Star Wars,Planet Set,65,1,Retail
X-wing Starfighter & Yavin 4,2012,Star Wars,Planet Set,77,1,Retail
Twin-Pod Cloud Car & Bespin,2012,Star Wars,Planet Set,78,1,Retail
AT-ST & Endor,2012,Star Wars,Planet Set,65,1,Retail
Alpharetta Exclusive Minifigure Pack,2012,Promotional,LEGO brand store opening set,15,3,LEGO exclusive
Bilbo Baggins ,2012,The Hobbit,An Unexpected Journey,4,NA,Promotional
Sith Infiltrator (SDCC 2012 exclusive),2012,Star Wars,MicroFighters,84,1,Promotional
"Costa Mesa, Exclusive Minifigure Pack",2012,Promotional,LEGO brand store opening set,15,3,LEGO exclusive
Elizabeth Exclusive Minifigure Pack,2012,Promotional,LEGO brand store opening set,15,NA,LEGO exclusive
"Essen, Germany, Exclusive Minifigure Pack",2012,Promotional,LEGO brand store opening set,NA,NA,LEGO exclusive
Ice Cream Stand,2012,Friends,Promotional,14,NA,Promotional
Iron Man & Captain America (2012 Collectors Preview),2012,Marvel Super Heroes,Promotional Exclusive Minifigure,7,2,Promotional
Nashville Exclusive Minifigure Pack,2012,Promotional,LEGO brand store opening set,15,3,LEGO exclusive
Chef,2012,Promotional,LEGO brand stores,73,NA,LEGO exclusive
Royal Guard (Limited Edition PAB Model),2012,Promotional,LEGO brand stores,88,NA,LEGO exclusive
Batman & Robin (Limited Edition PAB Model),2012,Promotional,LEGO brand stores,61,NA,LEGO exclusive
Patriot,2012,Promotional,LEGO brand stores,66,NA,LEGO exclusive
Zoo Keeper,2012,Promotional,LEGO brand stores,58,NA,LEGO exclusive
Surfer,2012,Promotional,LEGO brand stores,67,NA,LEGO exclusive
Pirate,2012,Promotional,LEGO brand stores,75,NA,LEGO exclusive
Monster,2012,Promotional,LEGO brand stores,50,NA,LEGO exclusive
"Saarbrucken, Germany Exclusive Minifigure Pack",2012,Promotional,LEGO brand store opening set,15,3,LEGO exclusive
"Westfield Stratford, UK Exclusive Minifigure Pack",2012,Promotional,LEGO brand store opening set,14,3,LEGO exclusive
"Vancouver, Canada Exclusive Minifigure Pack",2012,Promotional,LEGO brand store opening set,15,3,LEGO exclusive
Victor Exclusive Minifigure Pack,2012,Promotional,LEGO brand store opening set,15,3,LEGO exclusive
Wauwatosa Exclusive Minifigure Pack,2012,Promotional,LEGO brand store opening set,15,3,LEGO exclusive
Diagon Alley,2011,Harry Potter,General,2025,12,Not specified
Pet Shop,2011,Advanced Models,Modular Buildings,2032,4,Retail - limited
Maersk Train,2011,Advanced Models,Trains,1237,3,LEGO exclusive
Volkswagen T1 Camper Van,2011,Advanced Models,Vehicles,1332,NA,Retail - limited
Super Star Destroyer ,2011,Star Wars,Ultimate Collector Series,3152,5,LEGO exclusive
Winter Village Post Office,2011,Advanced Models,Winter Village,822,7,Retail - limited
Shuttle Expedition,2011,Advanced Models,Space,1230,3,LEGO exclusive
Compass Sensor,2011,Mindstorms,NXT,1,NA,Not specified
Colour Sensor ,2011,Mindstorms,NXT,1,NA,Not specified
Space Designer,2011,Master Builder Academy,,178,1,LEGO exclusive
Stormer 2.0,2011,HERO Factory,,31,NA,Not specified
Furno 2.0,2011,HERO Factory,,30,NA,Not specified
Evo 2.0,2011,HERO Factory,,31,NA,Not specified
Nex 2.0,2011,HERO Factory,,31,NA,Not specified
Willis Tower,2011,Architecture,Landmark Series,69,NA,Retail - limited
Rockefeller Center,2011,Architecture,Architect Series,240,NA,Retail - limited
Burj Khalifa,2011,Architecture,Landmark Series,208,NA,Retail - limited
Farnsworth House,2011,Architecture,Architect Series,546,NA,Retail - limited
Robie House,2011,Architecture,Architect Series,2276,NA,Retail - limited
Brandenburg Gate,2011,Architecture,Landmark Series,363,NA,Retail - limited
Kai,2011,Ninjago,Spinners,19,1,Retail
Cole,2011,Ninjago,Spinners,19,1,Retail
Zane,2011,Ninjago,Spinners,19,1,Not specified
Chopov,2011,Ninjago,Spinners,20,1,Not specified
Bonezai,2011,Ninjago,Spinners,21,1,Not specified
Krazi,2011,Ninjago,Spinners,22,1,Retail
Life Of George 1,2011,Miscellaneous,Phone game,146,NA,Not specified
Surge 2.0,2011,HERO Factory,,30,NA,Not specified
Breez 2.0,2011,HERO Factory,,29,NA,Not specified
Rocka 3.0,2011,HERO Factory,,30,NA,Not specified
Nex 3.0,2011,HERO Factory,,29,NA,Not specified
Stormer 3.0,2011,HERO Factory,,31,NA,Not specified
Cole DX,2011,Ninjago,Spinners,21,1,Not specified
Zane DX,2011,Ninjago,Spinners,22,1,Retail
Nya,2011,Ninjago,Spinners,21,1,Not specified
Nuckal,2011,Ninjago,Spinners,26,1,Not specified
Kruncha,2011,Ninjago,Spinners,24,1,Retail
Wyplash,2011,Ninjago,Spinners,23,1,Not specified
Bulk 3.0,2011,HERO Factory,,30,NA,Not specified
Stringer 3.0,2011,HERO Factory,,30,NA,Not specified
Furno 3.0,2011,HERO Factory,,28,NA,Not specified
Drilldozer,2011,HERO Factory,,61,NA,Not specified
Jetbug,2011,HERO Factory,,63,NA,Not specified
Nitroblast,2011,HERO Factory,,57,NA,Not specified
Waspix,2011,HERO Factory,,48,NA,Not specified
Raw-Jaw,2011,HERO Factory,,52,NA,Not specified
Fangz,2011,HERO Factory,,55,NA,Not specified
Fire Lord,2011,HERO Factory,,125,NA,Not specified
Scorpio,2011,HERO Factory,,104,NA,Not specified
Mountain Shrine,2011,Ninjago,,169,2,Not specified
Sensei Wu,2011,Ninjago,Spinners,20,1,Not specified
Lord Garmadon,2011,Ninjago,Spinners,23,1,Not specified
Spinjitzu Starter Set,2011,Ninjago,Spinners,57,2,Not specified
Ninja Ambush,2011,Ninjago,,71,2,Not specified
Skull Motorbike,2011,Ninjago,,157,2,Not specified
Ice Dragon Attack,2011,Ninjago,,158,2,Not specified
Turbo Shredder,2011,Ninjago,,298,3,Not specified
Rocka XL,2011,HERO Factory,,174,NA,Not specified
Witch Doctor,2011,HERO Factory,,331,NA,Not specified
Spinjitzu Dojo,2011,Ninjago,,373,3,Not specified
Garmadon's Dark Fortress,2011,Ninjago,,518,6,Not specified
Skull Truck,2011,Ninjago,,515,4,Not specified
Fire Temple,2011,Ninjago,,1180,7,Retail
Blacksmith Shop,2011,Ninjago,,189,2,Not specified
Earth Dragon Defense,2011,Ninjago,,225,2,Not specified
